,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Plotnikovo,RU,55.0247,85.9436,50.34,44,94,10.2,overcast clouds
1,Vaini,TO,-21.2,-175.2,71.76,94,20,3.44,few clouds
2,Hermanus,ZA,-34.4187,19.2345,66.79,70,67,7.58,broken clouds
3,Torbay,CA,47.6666,-52.7314,43.57,87,92,14.0,overcast clouds
4,Port Elizabeth,ZA,-33.918,25.5701,68.09,72,0,17.27,clear sky
5,Sur,OM,22.5667,59.5289,95.27,41,25,12.97,scattered clouds
6,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,87,100,9.44,overcast clouds
7,Castro,BR,-24.7911,-50.0119,47.53,96,42,9.01,scattered clouds
8,Kedrovyy,RU,56.1667,91.8167,41.41,87,99,4.0,light rain
9,Munchberg,DE,50.2,11.7833,69.67,81,74,4.0,broken clouds
10,Palembang,ID,-2.9167,104.7458,87.89,62,40,5.75,scattered clouds
11,Chokurdakh,RU,70.6333,147.9167,48.83,39,8,15.17,clear sky
12,Mataura,NZ,-46.1927,168.8643,38.48,95,61,3.31,broken clouds
13,Atuona,PF,-9.8,-139.0333,78.33,75,29,18.05,scattered clouds
14,Willemstad,CW,12.1084,-68.9335,80.51,78,20,10.36,few clouds
15,Winnemucca,US,40.973,-117.7357,60.85,39,0,0.0,clear sky
16,Cocobeach,GA,1.0002,9.5823,79.45,79,63,6.53,broken clouds
17,Shenjiamen,CN,29.9576,122.298,71.02,97,99,10.42,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,68.18,71,39,7.0,scattered clouds
19,Omsukchan,RU,62.5333,155.8,54.88,81,100,2.42,moderate rain
20,Aksarka,RU,66.5606,67.7975,48.58,24,16,23.31,few clouds
21,La Paz,BO,-16.5,-68.15,33.78,100,40,6.91,fog
22,Adrar,MR,20.5022,-10.0711,93.52,13,81,22.66,broken clouds
23,Datong,CN,40.0936,113.2914,81.32,13,12,18.05,few clouds
24,Qaanaaq,GL,77.484,-69.3632,24.35,92,86,8.52,overcast clouds
25,Kavieng,PG,-2.5744,150.7967,81.55,69,46,10.65,scattered clouds
26,Great Bend,US,38.3645,-98.7648,61.03,95,100,9.22,moderate rain
27,Ushuaia,AR,-54.8,-68.3,35.26,80,40,33.38,light intensity drizzle
28,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,68,75,9.22,broken clouds
29,Chara,RU,56.9064,118.2631,66.29,45,93,6.76,overcast clouds
