City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
2,Hermanus,ZA,66.79,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Torbay,CA,43.57,overcast clouds,47.6666,-52.7314,Gallows Cove
4,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
5,Sur,OM,95.27,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
6,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
7,Castro,BR,47.53,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
9,Munchberg,DE,69.67,broken clouds,50.2,11.7833,Seehotel Hintere Höhe
10,Palembang,ID,87.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
12,Mataura,NZ,38.48,broken clouds,-46.1927,168.8643,Ellie's Villa
13,Atuona,PF,78.33,scattered clouds,-9.8,-139.0333,Villa Enata
14,Willemstad,CW,80.51,few clouds,12.1084,-68.9335,Avila Beach Hotel
15,Winnemucca,US,60.85,clear sky,40.973,-117.7357,Winners Inn Casino
16,Cocobeach,GA,79.45,broken clouds,1.0002,9.5823,Hotel Esperance
17,Shenjiamen,CN,71.02,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
18,Port Alfred,ZA,68.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
21,La Paz,BO,33.78,fog,-16.5,-68.15,Hotel Presidente
23,Datong,CN,81.32,few clouds,40.0936,113.2914,Holiday Inn Datong City Centre
24,Qaanaaq,GL,24.35,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
25,Kavieng,PG,81.55,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
26,Great Bend,US,61.03,moderate rain,38.3645,-98.7648,Best Western Angus Inn
27,Ushuaia,AR,35.26,light intensity drizzle,-54.8,-68.3,Albatross Hotel
28,Arraial Do Cabo,BR,69.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Allende,MX,71.55,clear sky,25.2833,-100.0167,Ecovergel Hotel Boutique
31,Punta Arenas,CL,33.91,few clouds,-53.15,-70.9167,Hotel Hain
32,Kodiak,US,56.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
34,Apac,UG,82.74,overcast clouds,1.9756,32.5386,Double Duez Apac
35,Zhigansk,RU,59.4,moderate rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
36,Pevek,RU,29.93,light snow,69.7008,170.3133,Severnoye Zoloto
37,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
38,Anadyr,RU,36.1,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
39,Cape Town,ZA,67.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
40,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
41,Kapaa,US,73.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
43,Yellowknife,CA,52.32,few clouds,62.456,-114.3525,The Explorer Hotel
44,Bluff,NZ,38.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
45,Barrow,US,28.42,overcast clouds,71.2906,-156.7887,King Eider Inn
46,Lashio,MM,78.91,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
47,Yima,CN,71.71,moderate rain,34.7381,111.8839,Yima Hotel
49,Bengkulu,ID,82.11,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Marawi,PH,70.02,overcast clouds,7.9986,124.2928,Derogongan Residence
51,Barao De Melgaco,BR,63.36,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
52,Bredasdorp,ZA,66.0,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
53,Khatanga,RU,32.14,overcast clouds,71.9667,102.5,"""Khatanga"""
54,Springdale,US,56.05,clear sky,36.1867,-94.1288,Springdale Inn
55,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
57,Mar Del Plata,AR,44.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
58,Rikitea,PF,76.48,clear sky,-23.1203,-134.9692,People ThankYou
59,Hithadhoo,MV,84.11,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Solnechnyy,RU,54.61,broken clouds,50.7214,136.6319,Hotel complex Pastoral
61,Bulungu,CD,89.62,few clouds,-4.55,18.6,Maison MC Michel
62,Jamestown,US,51.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
63,Garwolin,PL,67.71,overcast clouds,51.8975,21.6147,Hotel & Restauracja Sulbin
64,Dingle,PH,82.58,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
65,Yazoo City,US,66.7,scattered clouds,32.8551,-90.4056,Hampton Inn Yazoo City
67,Sitka,US,57.09,broken clouds,57.0531,-135.33,Westmark Sitka
69,Tuktoyaktuk,CA,30.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
70,Wahiawa,US,71.92,broken clouds,21.5028,-158.0236,The Inn At Schofield
71,Guane,CU,75.07,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
73,Talnakh,RU,31.21,light snow,69.4865,88.3972,Talnakh Hotel
74,Narsaq,GL,57.42,clear sky,60.9167,-46.05,Sleep In Narsaq
75,Khuzdar,PK,96.3,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
77,Vao,NC,71.83,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
78,Maniitsoq,GL,44.73,scattered clouds,65.4167,-52.9,Hotel Heilmann Lyberth
79,Aloleng,PH,84.58,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
81,Iskateley,RU,58.24,clear sky,67.6803,53.1512,Hostel Agat
82,Te Anau,NZ,39.07,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
84,Kuytun,RU,68.43,few clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
85,Mpika,ZM,65.53,few clouds,-11.8343,31.4529,Melodies Lodge
86,Saint Anthony,US,58.48,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
87,Annau,TM,92.7,few clouds,37.8876,58.516000000000005,"Гостиница ""Уссат инженер"""
88,Boden,SE,62.6,scattered clouds,65.8252,21.6886,Quality Hotel Bodensia
90,Severo-Kurilsk,RU,41.81,broken clouds,50.6789,156.125,Kak Doma
91,Codrington,AU,51.04,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
92,Estelle,US,78.78,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
93,Shache,CN,88.25,overcast clouds,38.4167,77.2406,Delong Hotel
94,Namatanai,PG,80.35,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
96,Cayenne,GF,77.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
97,Shangzhi,CN,59.27,light rain,45.2167,127.9667,Ocean Zhixing Business Clubhouse
98,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
99,Carnarvon,AU,71.29,few clouds,-24.8667,113.6333,Hospitality Carnarvon
100,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
101,Lebu,CL,52.29,moderate rain,-37.6167,-73.65,Hostal Las Lilas
102,Victoria,HK,89.19,overcast clouds,22.2855,114.1577,Mini Central
103,Maryborough,AU,64.11,broken clouds,-25.5333,152.7,Blue Shades Motel
104,Carutapera,BR,74.88,overcast clouds,-1.195,-46.02,Lidera
105,Puerto Ayora,EC,70.74,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
106,Taree,AU,46.06,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
107,Noyabrsk,RU,32.34,light snow,63.1994,75.4507,Hotel Uyutnaya
108,Asau,RO,78.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
109,Sechura,PE,65.93,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
110,Busselton,AU,55.17,scattered clouds,-33.65,115.3333,Observatory Guest House
112,Fortuna,US,55.74,light rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
114,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
115,Upata,VE,71.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
117,Guerrero Negro,MX,59.63,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
118,Mananara,MG,72.0,light rain,-16.1667,49.7667,Chez Roger
119,Arona,ES,67.12,few clouds,28.0996,-16.680999999999997,Paradise Court
120,Flin Flon,CA,36.41,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
122,Sandwick,GB,49.82,broken clouds,60.0,-1.25,Beach House Self-Catering Accomodation
123,Bethel,US,58.5,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
124,Griffith,US,61.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
125,Vitim,RU,68.81,broken clouds,59.4511,112.5578,Gostinitsa V Apteke
126,Hermiston,US,55.81,overcast clouds,45.8404,-119.2895,Oxford Suites Hermiston
127,Kirakira,SB,81.05,overcast clouds,-10.4544,161.9205,SanBiz Lodge
128,Gladstone,AU,66.13,few clouds,-23.85,151.25,Highpoint International Hotel
129,Esperance,AU,55.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
130,Ancud,CL,48.02,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
131,Barahona,DO,76.1,broken clouds,18.2085,-71.1008,Hotel Caribe
132,Norman Wells,CA,39.24,broken clouds,65.282,-126.8329,Heritage Hotel
133,Ucluelet,CA,54.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
134,Nanortalik,GL,43.11,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
135,Cherskiy,RU,34.21,broken clouds,68.75,161.3,Gostinitsa
136,Faya,SA,81.12,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
137,Santa Clara,CU,77.04,overcast clouds,22.4,-79.9667,El Carmen
138,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Sao Filipe,CV,76.23,few clouds,14.8961,-24.4956,Hotel Xaguate
140,Port Hardy,CA,51.8,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
141,San Quintin,MX,59.45,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
142,Longyearbyen,SJ,40.84,light rain,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
143,Caravelas,BR,72.77,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
144,Elizabeth City,US,71.62,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
145,Thompson,CA,35.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
147,Maldonado,UY,43.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
148,Price,US,57.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
149,Saldanha,ZA,66.25,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
150,Tomatlan,MX,69.04,scattered clouds,19.9333,-105.25,El Salvial
151,New Norfolk,AU,45.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
152,Ulladulla,AU,51.76,scattered clouds,-35.35,150.4667,Sandpiper Motel
153,Butaritari,KI,81.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
154,Hualmay,PE,62.62,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
155,Upernavik,GL,26.89,few clouds,72.7868,-56.1549,Café de Upernavik
156,Huarmey,PE,63.54,overcast clouds,-10.0681,-78.1522,Hotel Miramar
158,Chokwe,MZ,79.02,clear sky,-24.5333,32.9833,Complexo Sonho Real
159,Kovdor,RU,60.01,overcast clouds,67.5662,30.4758,Derevo Zhelaniy
160,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
161,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
162,Qaqortoq,GL,48.2,clear sky,60.7167,-46.0333,Siniffik Inn
164,Riberalta,BO,66.4,broken clouds,-10.9833,-66.1,Hotel Colonial
165,Muana,BR,74.3,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
166,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
167,Chuncheng,CN,84.11,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
170,Tasiilaq,GL,33.96,broken clouds,65.6145,-37.6368,The Red House
171,Shingu,JP,67.24,broken clouds,33.7333,135.9833,Shingu UI Hotel
172,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
174,Comodoro Rivadavia,AR,46.26,clear sky,-45.8667,-67.5,Austral Hotel
176,Dingtao,CN,89.91,light rain,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
177,Wencheng,CN,84.61,overcast clouds,33.0559,113.7978,Ruyi Hostel
178,Savannah Bight,HN,81.66,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
179,Mikhaylovka,RU,81.79,broken clouds,50.06,43.2379,5 Komnat
180,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
181,Kudahuvadhoo,MV,83.62,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
182,Kutum,SD,91.02,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
183,Neiafu,TO,79.84,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
184,Mabaruma,GY,72.63,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
185,Kajaani,FI,53.65,overcast clouds,64.2273,27.7285,Original Sokos Hotel Valjus
186,Clyde River,CA,30.43,overcast clouds,70.4692,-68.5914,Qamaq Hotel
187,Sisimiut,GL,47.91,scattered clouds,66.9395,-53.6735,Hotel Sisimiut
188,Nikolskoye,RU,61.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
190,Rio Grande,BR,55.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
191,Brainerd,US,51.26,overcast clouds,46.358000000000004,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
192,Ahipara,NZ,54.54,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
193,Georgetown,MY,86.95,few clouds,5.4112,100.3354,Cititel Penang
194,Emborion,GR,84.29,scattered clouds,40.4833,21.55,Villa Kastanodasos
